kor,eng,sentence1_kor,sentence1_eng,sentence2_kor,sentence2_eng,sentence3_kor,sentence3_eng
행성,planet,지구는 행성이에요.,Earth is a planet.,우리는 다른 행성에 생명체가 있는지 궁금해해요.,We wonder if there is life on other planets.,과학자들은 외계 행성에서 생명체의 흔적을 찾기 위해 노력하고 있습니다.,Scientists are striving to find signs of life on exoplanets.
기사,article,신문 기사를 읽었어요.,I read a newspaper article.,이 물품은 판매 중이에요.,This article is for sale.,그녀는 국제법에 관한 학술지에 중요한 논문을 게재했습니다.,She published an important article in a journal on international law.
교육,education,교육은 중요해요.,Education is important.,좋은 교육은 더 나은 미래를 만들어요.,Good education creates a better future.,모든 개인은 양질의 교육을 받을 동등한 기회를 가져야 합니다.,Every individual should have an equal opportunity to receive quality education.
목적,purpose,제 목적은 배우는 거예요.,My purpose is to learn.,그는 분명한 목적을 가지고 일했어요.,He worked with a clear purpose.,인생의 목적을 찾는 것은 많은 사람들에게 중요한 여정입니다.,Finding the purpose of life is an important journey for many people.
무기,arm,그는 무기를 들고 있었어요.,He was carrying a weapon.,군인들이 무장했어요.,The soldiers were armed.,그녀는 아이를 팔에 안고 부드럽게 흔들었습니다.,She held the child in her arms and gently rocked it.
물체,object,이상한 물체를 봤어요.,I saw a strange object.,그는 그 계획에 반대했어요.,He objected to the plan.,그들은 미지의 비행 물체를 관찰했습니다.,They observed an unidentified flying object.
양,amount,많은 양의 물이 있어요.,There is a large amount of water.,그는 돈을 많이 벌었어요.,He earned a large amount of money.,이 프로젝트에 필요한 자금의 총액은 상당합니다.,The total amount of funding required for this project is substantial.
나머지,rest,나머지 음식을 먹었어요.,I ate the rest of the food.,잠시 쉬었어요.,I rested for a while.,힘든 하루를 보낸 후에는 충분한 휴식이 필수적입니다.,After a long day, sufficient rest is essential.
과정,process,이것은 긴 과정이에요.,This is a long process.,데이터를 처리해야 해요.,We need to process the data.,생명체는 복잡한 생물학적 과정을 통해 진화했습니다.,Living organisms have evolved through complex biological processes.
연구,research,연구를 하고 있어요.,I am doing research.,새로운 약을 연구하고 있어요.,They are researching a new medicine.,그는 암 치료법을 찾기 위해 평생을 연구에 바쳤습니다.,He dedicated his life to research in search of a cure for cancer.
존경,respect,그를 존경해요.,I respect him.,모든 사람을 존경해야 해요.,You should respect everyone.,그녀는 모든 면에서 존경받는 학자입니다.,She is a respected scholar in every respect.
영향,influence,그녀는 저에게 좋은 영향을 줬어요.,She had a good influence on me.,그의 말은 저에게 영향을 미쳤어요.,His words influenced me.,소셜 미디어는 현대 사회에 막대한 영향을 미치고 있습니다.,Social media exerts a tremendous influence on modern society.
거래,deal,좋은 거래를 했어요.,I got a good deal.,이 문제를 처리해야 해요.,We need to deal with this problem.,그들은 복잡한 국제 무역 협상을 성공적으로 처리했습니다.,They successfully dealt with complex international trade negotiations.
알아차리다,notice,그는 저를 알아차리지 못했어요.,He didn't notice me.,공고를 붙였어요.,They put up a notice.,그녀의 미묘한 변화를 알아차리는 사람은 거의 없었습니다.,Few people noticed her subtle change.
지지,support,저는 당신을 지지해요.,I support you.,그녀는 가족을 부양해요.,She supports her family.,정부의 재정적 지원은 중소기업의 성장에 필수적입니다.,Financial support from the government is essential for the growth of small businesses.
세대,generation,우리 세대는 달라요.,Our generation is different.,새로운 세대가 오고 있어요.,A new generation is coming.,이 기술 혁신은 다음 세대에 큰 영향을 미칠 것입니다.,This technological innovation will greatly impact the next generation.
인구,population,이 도시의 인구가 많아요.,This city has a large population.,세계 인구가 증가하고 있어요.,The world population is increasing.,급격한 인구 증가는 자원 부족과 환경 문제를 야기할 수 있습니다.,Rapid population growth can lead to resource scarcity and environmental problems.
산업,industry,자동차 산업은 커요.,The automobile industry is big.,그는 산업 분야에서 일해요.,He works in the industry.,4차 산업혁명은 사회 전반에 걸쳐 혁신을 가져오고 있습니다.,The Fourth Industrial Revolution is bringing innovation across all sectors of society.
경력,career,그녀는 성공적인 경력을 가지고 있어요.,She has a successful career.,어떤 직업을 선택할 건가요?,What career will you choose?,그는 자신의 경력 내내 윤리적 기준을 일관되게 유지했습니다.,He consistently maintained ethical standards throughout his career.
기회,opportunity,기회를 잡으세요.,Seize the opportunity.,좋은 기회가 왔어요.,A good opportunity came.,모든 시민은 성공을 위한 동등한 기회를 가져야 합니다.,All citizens should have equal opportunities for success.
태도,behavior,그의 태도가 좋아요.,His behavior is good.,아이들은 부모의 태도를 배워요.,Children learn their parents' behavior.,그녀의 차분한 태도는 위기 상황에서도 빛을 발했습니다.,Her calm behavior shone even in a crisis.
현실,reality,이것은 현실이에요.,This is reality.,현실을 직시해야 해요.,We must face reality.,가상 현실 기술은 엔터테인먼트 산업의 경계를 허물고 있습니다.,Virtual reality technology is blurring the boundaries of the entertainment industry.
눈물,tear,그녀는 눈물을 흘렸어요.,She shed tears.,종이를 찢었어요.,I tore the paper.,그녀의 눈물은 깊은 슬픔을 나타냈습니다.,Her tears indicated deep sorrow.
문제,issue,이것은 중요한 문제예요.,This is an important issue.,잡지를 발행했어요.,They issued a magazine.,정부는 인플레이션 문제를 해결하기 위한 새로운 정책을 발표했습니다.,The government announced new policies to address the issue of inflation.
세부사항,detail,세부사항을 알려주세요.,Please tell me the details.,그는 자세히 설명했어요.,He detailed the explanation.,그 보고서는 프로젝트의 모든 세부 사항을 자세히 설명했습니다.,The report detailed every aspect of the project.
한계,limit,한계에 도달했어요.,I reached my limit.,속도를 제한해야 해요.,We need to limit the speed.,인간의 상상력에는 한계가 없습니다.,There is no limit to human imagination.
도전,challenge,도전할 준비가 됐어요.,I am ready for the challenge.,그는 저에게 도전했어요.,He challenged me.,그녀는 어려운 도전을 받아들이고 성공적으로 완수했습니다.,She accepted a difficult challenge and completed it successfully.
진보,advance,과학은 진보하고 있어요.,Science is advancing.,앞으로 나아가세요.,Advance forward.,기술의 급속한 진보는 사회에 혁명적인 변화를 가져왔습니다.,Rapid technological advances have brought revolutionary changes to society.
이익,benefit,이것은 당신에게 이익이 될 거예요.,This will benefit you.,운동은 건강에 이롭습니다.,Exercise benefits your health.,그녀는 공동체의 이익을 위해 헌신적으로 일했습니다.,She worked selflessly for the benefit of the community.
치료,cure,병을 치료했어요.,I cured the disease.,이 약은 감기를 치료할 수 있어요.,This medicine can cure a cold.,아직 암에 대한 완전한 치료법은 발견되지 않았습니다.,A complete cure for cancer has not yet been discovered.
전문가,expert,그는 컴퓨터 전문가예요.,He is a computer expert.,전문가의 조언을 들었어요.,I got advice from an expert.,그는 이 분야에서 인정받는 전문가로, 그의 의견은 항상 존중됩니다.,He is a recognized expert in this field, and his opinions are always respected.
종,species,새로운 종을 발견했어요.,I discovered a new species.,이 동물은 희귀종이에요.,This animal is a rare species.,많은 동식물 종들이 기후 변화로 인해 멸종 위기에 처해 있습니다.,Many animal and plant species are endangered due to climate change.
외모,appearance,그녀의 외모가 바뀌었어요.,Her appearance changed.,그는 갑자기 나타났어요.,He made a sudden appearance.,그의 갑작스러운 출현은 모든 사람을 놀라게 했습니다.,His sudden appearance surprised everyone.
성격,character,그는 좋은 성격을 가지고 있어요.,He has a good character.,이 책의 주인공은 누구인가요?,Who is the main character in this book?,그녀는 강한 의지와 뛰어난 지성을 가진 인물입니다.,She is a character of strong will and brilliant intellect.
자질,quality,이 제품은 품질이 좋아요.,This product has good quality.,그는 리더의 자질을 가지고 있어요.,He has the qualities of a leader.,이 와인은 뛰어난 품질과 풍부한 맛을 자랑합니다.,This wine boasts excellent quality and a rich flavor.
자원,resource,자원을 아껴 써야 해요.,We should save resources.,자연 자원은 소중해요.,Natural resources are precious.,재활용은 지구의 귀중한 자원을 보존하는 데 도움이 됩니다.,Recycling helps conserve the Earth's valuable resources.
방법,method,새로운 방법을 찾았어요.,I found a new method.,효과적인 학습 방법이 필요해요.,We need an effective learning method.,과학자들은 새로운 연구 방법을 개발하기 위해 끊임없이 노력합니다.,Scientists constantly strive to develop new research methods.
이동,movement,움직임이 빨라요.,The movement is fast.,그는 팔을 움직였어요.,He made a movement with his arm.,시민 운동은 사회 변화를 이끌어냈습니다.,The civil rights movement brought about social change.
예,instance,예를 들어보세요.,Give me an instance.,이 경우에 해당해요.,It applies in this instance.,이러한 상황에서는 즉각적인 조치가 필요합니다.,In this instance, immediate action is required.
성냥,match,성냥으로 불을 붙였어요.,I lit a fire with a match.,경기를 시작했어요.,The match started.,그녀는 그의 지성에 완벽하게 어울리는 상대였습니다.,She was a perfect match for his intellect.
치수,figure,그림을 그렸어요.,I drew a figure.,그녀의 치수는 작아요.,Her figure is small.,그는 그 문제를 이해하기 어려웠어요.,He found it difficult to figure out the problem.
막대기,stick,막대기를 주웠어요.,I picked up a stick.,나뭇가지에 붙였어요.,I stuck it to the branch.,접착 테이프는 두 표면을 함께 붙이는 데 사용됩니다.,Adhesive tape is used to stick two surfaces together.
이기다,beat,그는 저를 이겼어요.,He beat me.,심장이 고동쳤어요.,My heart beat fast.,그는 드럼을 치는 데 능숙해요.,He is good at beating the drums.
접근,approach,문제에 접근하는 방법이 달라요.,My approach to the problem is different.,그에게 접근했어요.,I approached him.,그녀는 새로운 도전에 대해 신중한 접근 방식을 취했습니다.,She took a cautious approach to the new challenge.
자유,Freedom,자유를 원해요.,I want freedom.,새는 자유롭게 날아요.,The bird flies freely.,언론의 자유는 민주주의 사회의 기본 원칙입니다.,Freedom of the press is a fundamental principle of a democratic society.
전통,tradition,이것은 우리의 전통이에요.,This is our tradition.,오래된 전통을 지켜요.,We keep old traditions.,그 마을은 수세기 동안 이어져 온 독특한 전통을 가지고 있습니다.,The village has unique traditions that have been passed down for centuries.
모험,adventure,모험을 떠났어요.,I went on an adventure.,새로운 모험을 찾고 있어요.,I am looking for a new adventure.,그들은 미지의 땅을 탐험하는 위험한 모험을 시작했습니다.,They embarked on a perilous adventure to explore unknown lands.
범죄,crime,범죄를 저질렀어요.,He committed a crime.,범죄율이 낮아졌어요.,The crime rate decreased.,조직 범죄는 사회에 심각한 위협이 됩니다.,Organized crime poses a serious threat to society.
면,aspect,모든 면을 고려해야 해요.,We need to consider all aspects.,그는 문제의 다른 면을 봤어요.,He saw another aspect of the problem.,이 프로젝트의 가장 중요한 측면은 팀워크입니다.,The most crucial aspect of this project is teamwork.
해결,solution,해결책을 찾았어요.,I found a solution.,문제 해결이 필요해요.,We need to find a solution to the problem.,그녀는 복잡한 수학 문제에 대한 혁신적인 해결책을 제시했습니다.,She presented an innovative solution to a complex mathematical problem.
계산,account,계산이 틀렸어요.,The account is wrong.,그는 사고에 대해 설명했어요.,He accounted for the accident.,그녀는 회사의 재무 기록을 정확하게 관리했습니다.,She managed the company's financial accounts accurately.
막다,block,길을 막았어요.,I blocked the road.,아파트 한 구획에 살아요.,I live in an apartment block.,건설 현장에서 도로를 막아 교통 체증을 유발했습니다.,The construction site blocked the road, causing traffic congestion.
범위,range,범위가 넓어요.,The range is wide.,그의 목소리는 넓은 음역에 걸쳐져요.,His voice ranges over a wide scale.,그 연구는 다양한 연령대의 참가자들을 포함했습니다.,The study included participants from a wide range of ages.
손해,damage,차에 손해가 났어요.,The car was damaged.,그는 제 명예를 손상시켰어요.,He damaged my reputation.,홍수는 도시에 막대한 피해를 입혔습니다.,The flood caused extensive damage to the city.
공급,supply,식량을 공급했어요.,I supplied food.,물 공급이 부족해요.,The water supply is low.,전력 공급이 중단되어 도시 전체가 암흑에 잠겼습니다.,The power supply was cut off, plunging the entire city into darkness.
요구,demand,요구 사항이 많아요.,There are many demands.,그는 설명을 요구했어요.,He demanded an explanation.,소비자들의 친환경 제품에 대한 수요가 증가하고 있습니다.,Consumer demand for eco-friendly products is increasing.
거짓말하다,lie,그는 거짓말했어요.,He lied.,침대에 누웠어요.,I lay on the bed.,그녀는 아무리 힘들어도 진실을 말하는 것을 선호했습니다.,She preferred to tell the truth, no matter how difficult it was.
확산,spread,소문이 퍼졌어요.,The rumor spread.,빵에 버터를 발랐어요.,I spread butter on the bread.,질병의 확산을 막기 위해 즉각적인 조치가 필요합니다.,Immediate action is needed to stop the spread of the disease.
먹이다,feed,아기에게 밥을 먹였어요.,I fed the baby.,동물에게 먹이를 줬어요.,I fed the animal.,그녀는 지역 노숙자 보호소에서 자원봉사하며 사람들에게 식사를 제공합니다.,She volunteers at a local homeless shelter, feeding people.
젊음,youth,젊음은 아름다워요.,Youth is beautiful.,그는 젊은 시절에 많은 것을 배웠어요.,He learned a lot in his youth.,그녀는 젊은이들에게 영감을 주는 훌륭한 멘토입니다.,She is an excellent mentor who inspires the youth.
흙,soil,흙이 촉촉해요.,The soil is moist.,식물을 흙에 심었어요.,I planted the plant in the soil.,이 비옥한 토양은 농작물 재배에 이상적입니다.,This fertile soil is ideal for growing crops.
설비,equipment,새로운 설비를 설치했어요.,I installed new equipment.,캠핑 장비가 필요해요.,I need camping equipment.,이 실험실은 최첨단 과학 장비를 갖추고 있습니다.,The laboratory is equipped with state-of-the-art scientific equipment.
용어,term,전문 용어를 사용했어요.,I used a technical term.,계약 기간이 끝났어요.,The term of the contract ended.,그는 어려운 개념을 간단한 용어로 설명했습니다.,He explained the complex concept in simple terms.
유리한점,advantage,그는 유리한 점이 많아요.,He has many advantages.,이것은 우리에게 유리해요.,This is an advantage for us.,그녀는 경쟁에서 유리한 위치를 차지하기 위해 끊임없이 노력했습니다.,She constantly strived to gain an advantage in the competition.
판,board,칠판에 썼어요.,I wrote on the board.,비행기에 탔어요.,I boarded the plane.,이사회는 회사의 미래 전략에 대해 논의했습니다.,The board discussed the company's future strategy.
연료,fuel,연료가 떨어졌어요.,We ran out of fuel.,자동차에 연료를 넣었어요.,I fueled the car.,재생 에너지는 미래의 주요 연료원이 될 것입니다.,Renewable energy will be the primary fuel source of the future.
농담,chat,친구와 농담했어요.,I chatted with my friend.,재미있는 농담을 했어요.,I had a funny chat.,그들은 커피를 마시며 캐주얼한 대화를 나누었습니다.,They had a casual chat over coffee.
속임수,trick,속임수를 썼어요.,He used a trick.,저를 속이려고 했어요.,He tried to trick me.,그 마술사는 관객들을 놀라게 하는 놀라운 마술을 보여주었습니다.,The magician performed an amazing trick that astonished the audience.
공격,attack,적을 공격했어요.,I attacked the enemy.,갑작스러운 공격을 받았어요.,We suffered a sudden attack.,그들은 사이버 공격으로부터 시스템을 방어하기 위한 새로운 전략을 개발했습니다.,They developed a new strategy to defend their systems from cyber attacks.
시도,attempt,시도해 봤어요.,I made an attempt.,문제를 해결하려고 시도했어요.,I attempted to solve the problem.,그녀의 첫 번째 시도는 실패했지만, 그녀는 포기하지 않았습니다.,Her first attempt failed, but she did not give up.
교환,exchange,선물을 교환했어요.,We exchanged gifts.,정보를 주고받았어요.,We exchanged information.,학생들은 해외 교환 프로그램을 통해 다른 문화를 경험했습니다.,Students experienced different cultures through an international exchange program.
얻다,gain,지식을 얻었어요.,I gained knowledge.,이익을 얻었어요.,I gained profit.,그녀는 꾸준한 노력으로 상당한 경험을 얻었습니다.,She gained significant experience through consistent effort.
존재하다,exist,유령은 존재하지 않아요.,Ghosts don't exist.,이 세상에 평화가 존재해요.,Peace exists in this world.,고대 문명은 수천 년 전에 존재했습니다.,Ancient civilizations existed thousands of years ago.
유기체,organism,단세포 유기체를 봤어요.,I saw a single-celled organism.,모든 생물은 유기체예요.,All living things are organisms.,박테리아는 지구상에서 가장 작은 유기체 중 하나입니다.,Bacteria are among the smallest organisms on Earth.
감정,emotion,감정을 표현했어요.,I expressed my emotions.,그녀는 강한 감정을 느꼈어요.,She felt strong emotions.,음악은 인간의 다양한 감정을 표현하는 강력한 수단입니다.,Music is a powerful means of expressing various human emotions.
믿음,belief,믿음이 중요해요.,Belief is important.,그는 확고한 신념을 가지고 있어요.,He has a strong belief.,그들의 종교적 신념은 그들의 삶의 모든 측면에 영향을 미쳤습니다.,Their religious beliefs influenced every aspect of their lives.
경제,economy,경제는 성장하고 있어요.,The economy is growing.,절약하는 습관을 들여야 해요.,You should develop a habit of economy.,세계 경제는 현재 여러 가지 복잡한 문제에 직면해 있습니다.,The global economy is currently facing several complex challenges.
발견,discovery,새로운 발견을 했어요.,I made a new discovery.,과학적인 발견이 중요해요.,Scientific discovery is important.,그들의 탐험은 고대 도시의 놀라운 발견으로 이어졌습니다.,Their expedition led to the astonishing discovery of an ancient city.
비율,rate,성장률이 높아요.,The growth rate is high.,속도를 줄이세요.,Slow down your rate.,실업률은 지난 분기에 크게 감소했습니다.,The unemployment rate significantly decreased last quarter.
정장,suit,정장을 입었어요.,I wore a suit.,이 색깔은 당신에게 잘 어울려요.,This color suits you well.,그녀는 중요한 회의에 참석하기 위해 정장을 입었습니다.,She wore a business suit to attend an important meeting.
법정,court,법정에 갔어요.,I went to court.,테니스 경기장에서 놀았어요.,I played on the tennis court.,대법원은 중요한 법적 판결을 내렸습니다.,The Supreme Court made an important legal ruling.
압력,pressure,압력을 받았어요.,I felt pressure.,수압이 강해요.,The water pressure is strong.,그는 시험에 대한 엄청난 압력을 느끼고 있었습니다.,He was feeling immense pressure about the exam.
위험,risk,위험을 감수했어요.,I took a risk.,위험한 상황이었어요.,It was a risky situation.,그들은 새로운 사업을 시작하면서 큰 위험을 감수했습니다.,They took a big risk by starting a new business.
진보,progress,진보가 있었어요.,There was progress.,앞으로 나아가세요.,Make progress.,기술의 진보는 인류의 삶을 변화시켰습니다.,Technological progress has transformed human life.
도망,escape,감옥에서 도망쳤어요.,He escaped from prison.,위험에서 벗어났어요.,I escaped from danger.,그는 위험한 상황에서 기적적으로 탈출했습니다.,He miraculously escaped from a dangerous situation.
재다,measure,길이를 쟀어요.,I measured the length.,조치를 취했어요.,I took measures.,정부는 인플레이션을 억제하기 위한 새로운 조치를 발표했습니다.,The government announced new measures to curb inflation.
감소,decrease,온도가 감소했어요.,The temperature decreased.,인구가 감소하고 있어요.,The population is decreasing.,오염 수준의 지속적인 감소는 환경 개선을 나타냅니다.,A continuous decrease in pollution levels indicates environmental improvement.
추구하다,seek,행복을 추구해요.,I seek happiness.,잃어버린 열쇠를 찾고 있어요.,I am seeking my lost keys.,그녀는 항상 새로운 지식을 추구하고 배우는 것을 좋아합니다.,She always seeks new knowledge and loves to learn.
인류,humanity,인류의 미래는 밝아요.,The future of humanity is bright.,인간성을 보여주세요.,Show your humanity.,인류는 기후 변화와 같은 전 지구적 도전에 직면해 있습니다.,Humanity is facing global challenges such as climate change.
적,enemy,적을 물리쳤어요.,I defeated the enemy.,그는 저의 적이 아니에요.,He is not my enemy.,그들은 공동의 적에 맞서기 위해 동맹을 맺었습니다.,They formed an alliance to confront a common enemy.
곡물,grain,곡물을 수확했어요.,I harvested grain.,쌀은 중요한 곡물이에요.,Rice is an important grain.,고대 문명은 곡물 재배를 통해 발전했습니다.,Ancient civilizations developed through grain cultivation.
표면,surface,표면이 매끄러워요.,The surface is smooth.,물 위로 떠올랐어요.,I surfaced above the water.,지구의 표면은 다양한 지형으로 이루어져 있습니다.,The Earth's surface is composed of various landforms.
병,sickness,병에 걸렸어요.,I got a sickness.,심한 병이었어요.,It was a severe sickness.,그녀는 오랫동안 앓던 병에서 회복되었습니다.,She recovered from a long-term sickness.
가능성,possibility,가능성이 있어요.,There is a possibility.,모든 가능성을 열어두세요.,Keep all possibilities open.,그녀는 성공할 가능성이 높다고 믿었습니다.,She believed there was a high possibility of success.
위기,crisis,위기에 처했어요.,We are in a crisis.,경제 위기가 왔어요.,An economic crisis came.,전 세계는 현재 기후 위기에 직면해 있습니다.,The entire world is currently facing a climate crisis.
전략,strategy,새로운 전략을 세웠어요.,I made a new strategy.,승리 전략이 필요해요.,We need a winning strategy.,그 회사는 시장 점유율을 높이기 위한 새로운 마케팅 전략을 개발했습니다.,The company developed a new marketing strategy to increase its market share.
관습,custom,이것은 우리 지역의 관습이에요.,This is a custom of our region.,오래된 관습을 따랐어요.,I followed an old custom.,그 마을은 수세기 동안 이어져 온 독특한 관습을 가지고 있습니다.,The village has unique customs that have been passed down for centuries.
기원,origin,이 단어의 기원은 무엇인가요?,What is the origin of this word?,그는 한국 출신이에요.,He is of Korean origin.,그 이론의 기원은 고대 철학으로 거슬러 올라갑니다.,The origin of the theory dates back to ancient philosophy.
도입,introduction,책의 도입부를 읽었어요.,I read the introduction of the book.,새로운 시스템을 도입했어요.,We introduced a new system.,그녀의 강렬한 도입은 청중의 즉각적인 관심을 사로잡았습니다.,Her powerful introduction immediately captivated the audience's attention.
신뢰,trust,그를 신뢰해요.,I trust him.,신뢰를 쌓는 데 시간이 걸려요.,It takes time to build trust.,상호 신뢰는 모든 성공적인 관계의 기초입니다.,Mutual trust is the foundation of any successful relationship.
신용,credit,신용 카드를 사용했어요.,I used a credit card.,그의 말을 믿어요.,I credit his words.,그녀는 프로젝트의 성공에 대한 모든 공로를 팀원들에게 돌렸습니다.,She gave all the credit for the project's success to her team members.
언급,mention,그는 제 이름을 언급했어요.,He mentioned my name.,그는 아무 말도 언급하지 않았어요.,He didn't mention anything.,그녀는 연설에서 중요한 점을 언급했습니다.,She made an important mention in her speech.
다루다,handle,문제를 다루기 어려워요.,It's hard to handle the problem.,손잡이를 잡으세요.,Hold the handle.,그는 스트레스가 많은 상황을 침착하게 처리하는 능력이 뛰어납니다.,He has an excellent ability to handle stressful situations calmly.
요소,element,이것은 중요한 요소예요.,This is an important element.,물은 수소와 산소로 이루어져 있어요.,Water is made of hydrogen and oxygen elements.,팀워크는 성공적인 프로젝트의 핵심 요소입니다.,Teamwork is a crucial element of a successful project.
오락,entertainment,오락을 즐겼어요.,I enjoyed entertainment.,그들은 저에게 대접했어요.,They entertained me.,온라인 스트리밍 서비스는 현대인의 주요 오락 형태가 되었습니다.,Online streaming services have become a primary form of entertainment for modern people.
상상,imagination,상상력이 풍부해요.,She has a rich imagination.,상상해보세요.,Imagine it.,어린이들은 종종 풍부한 상상력을 통해 새로운 세계를 창조합니다.,Children often create new worlds through their rich imagination.
실패,failure,실패는 성공의 어머니예요.,Failure is the mother of success.,그는 시험에 실패했어요.,He failed the exam.,그녀는 실패를 두려워하지 않고 새로운 도전을 받아들였습니다.,She was not afraid of failure and accepted new challenges.
광산,mine,광산에서 일했어요.,I worked in a mine.,석탄을 채굴했어요.,I mined coal.,이 광산은 수십 년 동안 지역 경제의 중요한 부분이었습니다.,This mine has been a vital part of the local economy for decades.
수출,export,자동차를 수출했어요.,I exported cars.,수출량이 증가했어요.,Exports increased.,그 나라는 농산물 수출에 크게 의존합니다.,The country heavily relies on the export of agricultural products.
상,award,상을 받았어요.,I received an award.,그는 상을 수여했어요.,He awarded a prize.,그녀는 뛰어난 학업 성취로 장학금을 받았습니다.,She received an award for her outstanding academic achievement.
전투,battle,전투에서 이겼어요.,We won the battle.,그들은 다투었어요.,They battled.,그들은 공동의 목표를 위해 힘든 싸움을 벌였습니다.,They fought a tough battle for a common goal.
훈련,discipline,훈련을 받았어요.,I received discipline.,아이들을 훈련시켜야 해요.,You need to discipline your children.,자기 훈련은 목표 달성에 필수적입니다.,Self-discipline is essential for achieving goals.
종류,sort,어떤 종류의 음악을 좋아하세요?,What sort of music do you like?,물건을 분류했어요.,I sorted the items.,그녀는 모든 것을 종류별로 정리하는 것을 좋아합니다.,She likes to sort everything by type.
특징,feature,이것은 이 제품의 특징이에요.,This is a feature of this product.,그는 중요한 역할을 했어요.,He featured prominently.,이 소프트웨어의 새로운 기능은 사용자 경험을 크게 향상시킵니다.,The new feature of this software significantly enhances the user experience.
부족,lack,돈이 부족해요.,I lack money.,식량 부족이 심각해요.,There is a severe lack of food.,그는 자신감 부족으로 새로운 기회를 놓쳤습니다.,He missed out on new opportunities due to a lack of confidence.
욕구,desire,성공에 대한 욕구가 강해요.,I have a strong desire for success.,여행을 바라요.,I desire to travel.,그녀는 지식에 대한 강한 열망을 가지고 있습니다.,She has a strong desire for knowledge.
후회하다,regret,후회했어요.,I regretted it.,그는 자신의 결정을 후회했어요.,He regretted his decision.,그녀는 자신의 무례한 발언을 즉시 후회했습니다.,She immediately regretted her rude remark.
얼리다,freeze,물이 얼었어요.,The water froze.,음식을 얼려야 해요.,You need to freeze the food.,기온이 영하로 떨어지자 호수가 얼어붙기 시작했습니다.,As the temperature dropped below zero, the lake began to freeze.
